车次,"出发站
到达站","出发时间
到达时间",历时,"商务座
特等座",一等座,二等座,"高级
软卧",软卧,动卧,硬卧,软座,硬座,无座,其他,备注
K284,"成都
南京","18:22
03:45","33:23
两日到达",--,--,--,--,无,--,无,--,无,7,--
